Condition,Distance,Overall_Contrast,Band1_Contrast,Band2_Contrast,Band3_Contrast
BG,100m,0.7637989390724105,0.9989781964122308,0.7530183813984979,0.35052122374879957
BG,200m,0.6130825966410433,0.3855993106685536,0.4436922722068265,0.4211458804312795
BG,300m,0.6548032935506656,0.6967017720056193,0.624011125850811,0.33580399716241877
BG,400m,0.6090364503198605,0.6897116513864564,0.5472028058276548,0.3006086965832755
BG,500m,0.6861357026006102,0.7635939937645327,0.5581667076700567,0.439879295601049
OF,100m,0.43414160342650576,0.07058897534165783,0.5335691968934655,0.22865360986359032
OF,200m,0.36328396415875425,0.05344163340656793,0.4205730538306712,0.20001162660128738
OF,300m,0.33284784518715915,0.06217119085244644,0.4857263193324943,0.16222937426509051
OF,400m,0.3935115676294047,0.06912420673636689,0.44090579606915,0.23213715644848903
OF,500m,0.3368163139063339,0.07069829711803235,0.42762394526509556,0.1959883895444899
